,stockcode,trade_date,sentiment_score,z_score
0,AMZN,2019-02-08,0.5227786666666667,0.6807422811215428
1,AMZN,2019-02-07,0.5867285714285714,1.1799823687952082
2,AMZN,2019-02-06,0.46602,0.23764229796430275
3,AMZN,2019-02-05,0.30766,-0.9986325734112367
4,AMZN,2019-02-04,0.3188936363636364,-0.9109345287627512
5,AMZN,2019-02-01,0.34485040000000006,-0.7082969016733929
6,AMZN,2019-01-31,0.3867809090909091,-0.380956444909851
7,AMZN,2019-01-30,0.112596,-2.5214459196476486
8,AMZN,2019-01-29,0.5787628571428571,1.1177961323467007
9,AMZN,2019-01-28,0.3583,-0.6032994117134762
10,AMZN,2019-01-25,0.5447649999999999,0.8523838030569195
11,AMZN,2019-01-24,0.4213,-0.11147498069138112
12,AMZN,2019-01-23,0.5829533333333333,1.15051007787198
13,AMZN,2019-01-22,0.4632221428571429,0.2158001630854649
14,AMZN,2019-01-18,0.44423500000000005,0.06757253241166285
15,AMZN,2019-01-17,0.4916100000000001,0.43741669780327846
16,AMZN,2019-01-16,0.4876688888888888,0.40664947986967265
17,AMZN,2019-01-15,0.461548888888889,0.20273750942051347
18,AMZN,2019-01-14,0.4412050000000001,0.04391811930060079
19,AMZN,2019-01-11,0.4749742857142857,0.3075460515617287
20,AMZN,2019-01-10,0.4104998484848485,-0.19578892313410828
21,AMZN,2019-01-09,0.37794,-0.4499750970265882
22,AMZN,2019-01-08,0.4336136363636363,-0.015345660082517542
23,AMZN,2019-01-07,0.46069,0.19603238975243342
24,AMZN,2019-01-04,0.3872516666666666,-0.3772813643249896
25,AMZN,2019-01-03,0.363534,-0.5624389502536404
26,AMZN,2019-01-02,0.4127742857142857,-0.17803298986008564
27,AMZN,2018-12-31,0.5209514285714286,0.6664775138749971
28,AMZN,2018-12-28,0.5362866666666667,0.78619568452228
29,AMZN,2018-12-27,0.429508,-0.0473972833925025
30,AMZN,2018-12-26,0.41889,-0.13028921686222653
31,AMZN,2018-12-24,0.4504506666666667,0.11609660736017618
32,AMZN,2018-12-21,0.665194,1.792541333272156
33,AMZN,2018-12-20,0.2918600000000001,-1.121979018016777
34,AMZN,2018-12-19,0.21541,-1.7188040616935902
35,AMZN,2018-12-18,0.4055575,-0.2343725379194022
36,AMZN,2018-12-17,0.5045426470588235,0.5383784721098716
37,AMZN,2018-12-14,0.5161222222222221,0.6287771699863184
38,AMZN,2018-12-13,0.4389166666666667,0.026053702798130678
39,AMZN,2018-12-12,0.48296999999999995,0.3699664901202471
40,AMZN,2018-12-11,0.5859914285714286,1.1742276883778076
41,AMZN,2018-12-10,0.5271100000000001,0.7145558613157287
42,AMZN,2018-12-07,0.53033,0.7396935544568571
43,AMZN,2018-12-06,0.6066015384615384,1.335125395838222
44,AMZN,2018-12-04,0.4823483333333334,0.36511330195169645
45,AMZN,2018-12-03,0.4388416666666666,0.025468197523103572
46,AMZN,2018-11-30,0.4387066666666665,0.02441428802805582
47,AMZN,2018-11-29,0.5571625,0.949167825018768
48,AMZN,2018-11-28,0.29810000000000003,-1.0732649791345892
49,AMZN,2018-11-27,0.7902,2.768430298737998
50,AMZN,2018-11-26,0.2041790476190476,-1.8064811531951481
51,AMZN,2018-11-23,0.43125375,-0.033768672274140314
52,AMZN,2018-11-21,0.6602399999999999,1.7538667581724183
53,AMZN,2018-11-20,,
54,AMZN,2018-11-19,0.6193,1.4342589453780603
55,AMZN,2018-11-16,0.375335,-0.47031164691250205
56,AMZN,2018-11-15,0.7945800000000002,2.8026238067995353
57,AMZN,2018-11-14,0.2603733333333333,-1.3677871437011544
58,AMZN,2018-11-13,0.4670916666666667,0.24600851778301214
59,AMZN,2018-11-12,0.32458000000000004,-0.8665425833653022
60,AMZN,2019-02-11,,
61,GOOGL,2019-02-08,0.34618666666666664,-0.6978650192443915
62,GOOGL,2019-02-07,0.43714,0.012183733394173946
63,GOOGL,2019-02-06,0.3127111111111111,-0.9591998774072429
64,GOOGL,2019-02-05,0.4449164705882353,0.07289259406748978
65,GOOGL,2019-02-04,0.4923475000000001,0.4431741663410371
66,GOOGL,2019-02-01,0.42198,-0.10616639953114253
67,GOOGL,2019-01-31,0.5594366666666667,0.9669216460803991
68,GOOGL,2019-01-30,0.44554,0.0777603241971201
69,GOOGL,2019-01-29,0.5110833333333333,0.589439889656774
70,GOOGL,2019-01-28,0.5556439999999999,0.9373132948837347
71,GOOGL,2019-01-25,0.6095966666666668,1.3585075740179917
72,GOOGL,2019-01-24,0.6475733333333333,1.6549814228346431
73,GOOGL,2019-01-23,0.26743333333333336,-1.312671580478678
74,GOOGL,2019-01-22,0.3327342857142857,-0.8028842193681569
75,GOOGL,2019-01-18,0.56116875,0.980443565126423
76,GOOGL,2019-01-17,0.2502216666666667,-1.4470385354830477
77,GOOGL,2019-01-16,0.20785200000000006,-1.7778073799422403
78,GOOGL,2019-01-15,0.6595599999999999,1.7485581770121799
79,GOOGL,2019-01-14,0.43613142857142856,0.004310081505248907
80,GOOGL,2019-01-11,0.4790444444444445,0.33932071031776
81,GOOGL,2019-01-10,0.20839866666666668,-1.7735396970487156
82,GOOGL,2019-01-09,0.5528700000000001,0.9156574064447631
83,GOOGL,2019-01-08,0.35378000000000004,-0.6385858629550613
84,GOOGL,2019-01-07,0.3988,-0.2871265631992724
85,GOOGL,2019-01-04,0.57128625,1.0594282267274713
86,GOOGL,2019-01-03,0.415772,-0.15463062282932014
87,GOOGL,2019-01-02,0.25375857142857144,-1.419426850211569
88,GOOGL,2018-12-31,0.3928159523809524,-0.3338424491587518
