web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1548238462-2611","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@naashonomics","avinashrulz","#streaming growth in #india by 2025 $NFLX $AMZN $GOOGLpic.twitter.com/M2Lz0GETbF","","","","1548013948000","11:52 AM - 20 Jan 2019","/naashonomics/status/1087075408229486592"
"1548238462-3237","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@carletonenglish","Carleton English","Fun times covering a lot of ground today on @BullsBearsFBN with these guys: What DC gridlock means for Wall St., $DIS earnings, $AMZN & $GOOG in NYC, and more... @garybsmith @DavidAsmanfox @murphyrosecliff & @CGasparino.pic.twitter.com/zKlqTHxNro","","2","11","1541721675000","4:01 PM - 8 Nov 2018","/carletonenglish/status/1060683702525669377"
"1548238462-2834","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@om","OM","Call me a hopeless romantic, but I am kinda feeling sad about this news about @JeffBezos and @MackenzieBezos 25-years together is a long time. $AMZN","4","6","48","1547061296000","11:14 AM - 9 Jan 2019","/om/status/1083079696537899008"
"1548238462-2646","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@murder4kickz","📈 C.G.T Trading   📉","Market is running on “FOMO” & Trade talks going well  according to CNBC. I’ll just wait on the rug pull. More earnings next week! 

$SPY $IQ $PCG $AMD $MU $CRON $TLRY $NVDA $LRCX $AMAT $NIO $BABA $VIX $ACB $CGC $NFLX $FB $SNAP $AMZN pic.twitter.com/hH3V66cMEt","","4","7","1547943722000","4:22 PM - 19 Jan 2019","/murder4kickz/status/1086780858629943296"
"1548238462-2507","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@hd52time","hd52","$OSTK #tzero @tzeroblockchain @medici_ventures @bakkt $SQ $RIOT $BTC $ETC #bitcoin #ethereum #blockchain #cryptocurrency #bitcoinETF #coinbase $GOOG $GS $NFLX $FB $TSLA $AAPL $AMZN $SPY

The figures...pic.twitter.com/1xjHtsR922","1","","1","1548172393000","7:53 AM - 22 Jan 2019","/hd52time/status/1087739974617911296"
"1548238462-2549","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@Stock_Hunter89","Stock_Hunter","@JEDmoney1 delivered big today in $AMZN  pic.twitter.com/L1wKy6M70c","1","","2","1548188527000","12:22 PM - 22 Jan 2019","/Stock_Hunter89/status/1087807642095955968"
"1548238462-3041","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@NSHBIZSichko","Adam Sichko","BREAKING

First look: Here's Amazon's office high-rise coming to downtown Nashville
http://bizj.us/1prrc4 

$AMZN #HQ2pic.twitter.com/JkNGaiHbUI","3","23","33","1544135232000","2:27 PM - 6 Dec 2018","/NSHBIZSichko/status/1070806894221164545"
"1548238462-2903","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@CNBCFastMoney","CNBC's Fast Money","Netflix topped the FANG trade as the best performer in 2018. Our traders weigh in on which FANG stock is the best play for 2019. $NFLX $FB $AMZN $GOOGLpic.twitter.com/8XAg0YMpxc","4","9","26","1546295374000","2:29 PM - 31 Dec 2018","/CNBCFastMoney/status/1079867185282117632"
"1548238462-2649","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@optionslion8","TechSmith ($SPX, $AMZN)","$FB right at the last earnings level. Look at the  beautiful doji in the up trending channel. Juicy short. Play tight into earnings. $QQQ $NS_F $AAPL $AMZN pic.twitter.com/CT2QmZKLGh","1","2","5","1547918992000","9:29 AM - 19 Jan 2019","/optionslion8/status/1086677130400927745"
"1548238462-3373","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@laurenthomasx3","Lauren Thomas","NEW: Target will have a sweet shipping perk for shoppers for the first time this holiday season. CEO Brian Cornell also says the company is confident it will hire 120k seasonal workers despite the tight labor market in the U.S. $tgt $wmt $amzn  https://www.cnbc.com/2018/10/23/target-to-offer-free-two-day-shipping-without-a-minimum-purchase.html …","","5","16","1540326754000","1:32 PM - 23 Oct 2018","/laurenthomasx3/status/1054832978994610176"
